connector,connectorChannel,stripNb,axis,pitch(mm),interpitch(mm),neighbours(:separated),xGerber,yGerber
3,21,85,x,1.2,0.125,20:22,-113.875,88.45
3,22,86,x,1.2,0.125,21:23,-113.875,89.65
3,23,87,x,1.2,0.125,22:24,-113.875,90.85
3,24,88,x,1.2,0.125,23:25,-113.875,92.05
3,25,89,x,1.2,0.125,24:26,-113.875,93.25
3,26,90,x,1.2,0.125,25:27,-113.875,94.45
3,27,91,x,1.2,0.125,26:28,-113.875,95.65
3,28,92,x,1.2,0.125,27:29,-113.875,96.85
3,29,93,x,1.2,0.125,28:30,-113.875,98.05
3,30,94,x,1.2,0.125,29:31,-113.875,99.25
3,31,95,x,1.2,0.125,30,-113.875,100.45
3,32,96,x,1.2,0.125,33,-113.875,101.65
3,33,97,x,1.2,0.125,32:34,-113.875,102.85
3,34,98,x,1.2,0.125,33:35,-113.875,104.05
3,35,99,x,1.2,0.125,34:36,-113.875,105.25
3,36,100,x,1.2,0.125,35:37,-113.875,106.45
3,37,101,x,1.2,0.125,36:38,-113.875,107.65
3,38,102,x,1.2,0.125,37:39,-113.875,108.85
3,39,103,x,1.2,0.125,38:40,-113.875,110.05
3,40,104,x,1.2,0.125,39:41,-113.875,111.25
3,41,105,x,1.2,0.125,40:42,-113.875,112.45
3,42,106,x,1.2,0.125,41:43,-113.875,113.65
3,43,107,x,1.2,0.125,42:44,-113.875,114.85
3,44,108,x,1.2,0.125,43:45,-113.875,116.05
3,45,109,x,1.2,0.125,44:46,-113.875,117.25
3,46,110,x,1.2,0.125,45:47,-113.875,118.45
3,47,111,x,1.2,0.125,46:48,-113.875,119.65
3,48,112,x,1.2,0.125,47:49,-113.875,120.85
3,49,113,x,1.2,0.125,48:50,-113.875,122.05
3,50,114,x,1.2,0.125,49:51,-113.875,123.25
3,51,115,x,1.2,0.125,50:52,-113.875,124.45
3,52,116,x,1.2,0.125,51:53,-113.875,125.65
3,53,117,x,1.2,0.125,52:54,-113.875,126.85
3,54,118,x,1.2,0.125,53:55,-113.875,128.05
3,55,119,x,1.2,0.125,54:56,-113.875,129.25
3,56,120,x,1.2,0.125,55:57,-113.875,130.45
3,57,121,x,1.2,0.125,56:58,-113.875,131.65
3,58,122,x,1.2,0.125,57:59,-113.875,132.85
3,59,123,x,1.2,0.125,58:60,-113.875,134.05
3,60,124,x,1.2,0.125,59:61,-113.875,135.25
3,61,125,x,1.2,0.125,60:62,-113.875,136.45
3,62,126,x,1.2,0.125,61:63,-113.875,137.65
3,63,127,x,1.2,0.125,62,-113.875,138.85
